Timestamp,Noureddine_Rojbani_TS01_solar_radiation,Noureddine_Rojbani_TS01_wind_direction,Noureddine_Rojbani_TS01_air_humidity,Noureddine_Rojbani_TS01_wind_speed,Noureddine_Rojbani_TS01_temperature
2024-10-19T15:00:00,693,37.6,47.2,0.92,25
2024-10-19T15:30:00,661,35.2,47.9,2.01,24.7
2024-10-19T16:00:00,612,285.5,45.3,0.25,24.9
2024-10-19T16:30:00,518,37.6,47.4,0.3,24.7
2024-10-19T17:00:00,417,298.6,46.4,0.79,24.7
2024-10-19T17:30:00,329,14.3,47.4,0.7,25
2024-10-19T18:00:00,234,8.6,47.6,0.73,24.4
2024-10-19T18:30:00,143,17.1,46.2,0.65,23.7
2024-10-19T19:00:00,31,12.2,47.2,0.56,22.9
2024-10-19T19:30:00,6,215,49.8,0.56,21.9
2024-10-19T20:00:00,0,140.2,51.4,0.33,21.2
2024-10-19T20:30:00,0,338.7,56.9,0.31,20
2024-10-19T21:00:00,0,5.2,61.3,0.18,18.5
2024-10-19T21:30:00,1,262.7,62.3,0.11,17.8
2024-10-19T22:00:00,0,68.6,61.9,0.2,17.9
2024-10-19T22:30:00,0,54.5,65.5,0.18,17.1
2024-10-19T23:00:00,0,234.6,61.3,0.42,17.7
2024-10-19T23:30:00,0,42,66.8,0.22,16.6
2024-10-20T00:00:00,0,54.6,68.3,0.21,16.2
2024-10-20T00:30:00,1,5.1,67.3,0.22,16.3
2024-10-20T01:00:00,2,325.6,58.7,0.69,17.9
2024-10-20T01:30:00,0,307.7,59.5,0.6,18.1
2024-10-20T02:00:00,0,297.2,63.8,1.11,17.4
2024-10-20T02:30:00,0,68.6,66,0.2,16.5
2024-10-20T03:30:00,1,322.7,68.9,0.75,16.1
2024-10-20T04:00:00,0,23.6,68.1,0.2,16.3
2024-10-20T04:30:00,0,21.5,69,0.93,16.2
2024-10-20T05:00:00,1,54.4,70.4,0.18,16
2024-10-20T05:30:00,2,301.9,69.2,1,16.3
2024-10-20T06:00:00,0,333.4,66.5,1.13,17
2024-10-20T06:30:00,0,308.9,66.6,0.83,17
2024-10-20T07:00:00,0,282.4,70.6,0.36,16.2
2024-10-20T07:30:00,0,50.1,72,0.32,16
2024-10-20T08:00:00,0,45.5,73.7,0.38,15.7
2024-10-20T08:30:00,7,15.4,73.1,0.5,15.7
2024-10-20T09:00:00,53,35,66.8,0.36,16.7
2024-10-20T09:30:00,70,147.3,67.5,0.15,17.1
2024-10-20T10:00:00,274,277.6,62.7,0.53,18.7
2024-10-20T10:30:00,374,8.4,58.6,0.42,20.3
2024-10-20T11:00:00,489,338.7,54.6,0.52,21.8
2024-10-20T11:30:00,375,19.2,54.8,0.92,22.4
2024-10-20T12:00:00,602,18,53.9,0.71,22.1
2024-10-20T12:30:00,635,357,51.7,1.16,23
2024-10-20T13:00:00,722,19.9,47.9,1.06,23.9
2024-10-20T13:30:00,409,28.8,44.7,1.17,24.3
2024-10-20T14:00:00,772,119.5,42.1,1.04,24.8
2024-10-20T14:30:00,722,95.3,42.4,0.46,24.8
2024-10-20T15:00:00,545,23.6,42.4,0.63,25.2
2024-10-20T15:30:00,589,39.7,42.3,1.2,25.1
2024-10-20T16:00:00,613,68.7,43.6,0.2,25.1
2024-10-20T16:30:00,418,338.5,41.4,0.63,24.6
2024-10-20T17:00:00,219,256.7,43.1,0.37,24.9
2024-10-20T17:30:00,159,54.6,45.1,0.16,23.6
2024-10-20T18:00:00,151,51.6,43.8,1.42,23.4
2024-10-20T18:30:00,62,293.8,47.6,0.84,22.7
2024-10-20T19:00:00,26,23.7,50.2,0.84,22.1
2024-10-20T19:30:00,2,54.7,51.7,0.21,21.6
2024-10-20T20:00:00,0,42.1,54,0.16,21.2
2024-10-20T20:30:00,0,348.1,55.1,0.31,20.8
2024-10-20T21:00:00,0,234.5,56.8,0.11,20.3
2024-10-20T21:30:00,0,248.6,57.8,0.11,19.9
2024-10-20T22:00:00,0,301.8,58.5,0.25,19.7
2024-10-20T22:30:00,0,270.5,58.1,0.27,19.5
2024-10-20T23:00:00,0,158.7,59.9,0.06,18.8
2024-10-20T23:30:00,0,279.7,63.9,0.3,17.7
2024-10-21T00:00:00,1,113.7,65.1,0,17.2
2024-10-21T00:30:00,1,262.7,64.1,0.16,17.4
2024-10-21T01:00:00,0,293.8,65,0.2,17.1
2024-10-21T01:30:00,0,241.5,66,0.41,16.9
2024-10-21T02:00:00,0,270.5,68.1,0.27,16.5
2024-10-21T02:30:00,0,203.6,70.7,0.11,16.4
2024-10-21T03:30:00,1,225.3,76.1,0.38,15.9
2024-10-21T04:00:00,1,298.2,76.3,0.45,16.1
2024-10-21T04:30:00,0,312.2,78.8,0.45,15.2
2024-10-21T05:00:00,1,132.1,81.5,0.06,14.7
2024-10-21T05:30:00,0,113.7,83.5,0.11,14.6
2024-10-21T06:00:00,0,203.5,79.7,0.27,15.1
