"TIME";"Date";"Hour";"Hourly irrigation requirements (m3)";"Suggested Soil Moisture (%)";"Irrigation Suggested (m3)";"Irrigation Limit (m3)"
2024-10-12 22:00:00;"2024-10-12";22;34.0407105159798;10.1141524105754;0;0
2024-10-12 23:00:00;"2024-10-12";23;34.0465295773588;10.1130119232763;0;0
2024-10-13 00:00:00;"2024-10-13";0;34.045237248407;10.1118714359772;0;0
2024-10-13 01:00:00;"2024-10-13";1;34.0514070641863;10.1109383100052;0;0
2024-10-13 02:00:00;"2024-10-13";2;34.0502313080644;10.1096941420425;0;0
2024-10-13 03:00:00;"2024-10-13";3;0;10.1088646967341;0;0
2024-10-13 04:00:00;"2024-10-13";4;34.0555760973897;10.1074131674443;0;0
2024-10-13 05:00:00;"2024-10-13";5;34.0546346207751;10.1062726801452;0;0
2024-10-13 06:00:00;"2024-10-13";6;34.0611545913224;10.1053395541731;0;0
2024-10-13 07:00:00;"2024-10-13";7;34.0604873158308;10.1044409884223;0;0
2024-10-13 08:00:00;"2024-10-13";8;34.0670850417798;10.1034733022291;0;0
2024-10-13 09:00:00;"2024-10-13";9;34.0663781271702;10.1022291342665;0;0
2024-10-13 10:00:00;"2024-10-13";10;34.0660246263334;10.1017107309487;0;0
2024-10-13 11:00:00;"2024-10-13";11;32.9576274720941;10.1015033696216;1;1
2024-10-13 12:00:00;"2024-10-13";12;34.0682629749242;10.1028512182478;0;0
2024-10-13 13:00:00;"2024-10-13";13;34.0633911722713;10.1047174701918;0;0
2024-10-13 14:00:00;"2024-10-13";14;34.0588696446997;10.10699844479;0;0
2024-10-13 15:00:00;"2024-10-13";15;34.0543450498833;10.1094867807154;0;0
2024-10-13 16:00:00;"2024-10-13";16;34.0497000129039;10.1120787973043;0;0
2024-10-13 17:00:00;"2024-10-13";17;34.0442310691535;10.1141524105754;0;0
2024-10-13 18:00:00;"2024-10-13";18;34.0451693970032;10.1155002592017;0;0
2024-10-13 19:00:00;"2024-10-13";19;34.0449348342247;10.1159149818559;0;0
2024-10-13 20:00:00;"2024-10-13";20;34.043879143445;10.1155002592017;0;0
