date,hurs_CMCC-CM2-SR5,hurs_CNRM-ESM2-1,hurs_EC-Earth3-Veg,hurs_IPSL-CM6A-LR,hurs_MIROC6,hurs_MPI-ESM1-2-HR,hurs_NorESM2-MM,hurs_UKESM1-0-LL,pr_CESM2,pr_CMCC-CM2-SR5,pr_CNRM-ESM2-1,pr_EC-Earth3-Veg,pr_IPSL-CM6A-LR,pr_MIROC6,pr_MPI-ESM1-2-HR,pr_NorESM2-MM,pr_UKESM1-0-LL,tasmax_CNRM-ESM2-1,tasmax_EC-Earth3-Veg,tasmax_IPSL-CM6A-LR,tasmax_MIROC6,tasmax_MPI-ESM1-2-HR,tasmax_NorESM2-MM,tasmax_UKESM1-0-LL,tasmin_CNRM-ESM2-1,tasmin_EC-Earth3-Veg,tasmin_IPSL-CM6A-LR,tasmin_MIROC6,tasmin_MPI-ESM1-2-HR,tasmin_NorESM2-MM,tasmin_UKESM1-0-LL
1991-01-26,67.6634,74.2426,82.3126,67.194,85.3435,69.3183,75.9227,63.8944,5.98173,1.07817,3.96716,5.78362,-2.77556e-14,3.7978,5.56301,1.20935,0.104195,16.2032,13.4893,19.1209,14.5429,11.571,14.4516,14.4348,8.22057,6.06824,7.40753,7.25399,4.59135,8.06485,6.32696
1991-01-27,86.7539,87.8145,77.5003,85.1849,80.3191,73.9297,65.9985,60.5673,0.558204,7.77842,17.7431,0.176903,4.28414,0.0153326,20.91,-2.77556e-14,-2.77556e-14,12.8327,12.9233,15.55,15.7761,13.2508,18.5892,15.5961,7.30427,9.02481,7.3541,6.66837,4.40066,6.51055,5.59662
1991-01-28,84.8725,87.0349,69.697,83.341,74.9197,87.0105,61.929,72.5514,2.08478,4.74706,18.1814,-2.77556e-14,0.433428,-2.77556e-14,9.32513,-2.77556e-14,1.51188,10.6202,13.9317,16.2215,16.3686,11.3844,19.5455,14.594,7.11681,5.76453,5.90413,6.11702,7.19551,7.28249,6.41138
1991-01-29,78.0579,88.7564,69.196,60.3206,79.4854,80.0894,76.2093,50.7026,1.08468,1.00304,17.6645,-2.77556e-14,-2.77556e-14,0.680735,5.70595,4.98793,0.0227789,10.8625,14.9532,18.5117,15.4492,13.9401,15.1694,16.1806,6.9976,4.82232,7.57236,6.42703,7.12632,8.388,6.97599
1991-01-30,69.761,86.8207,68.0766,60.5712,83.0983,86.299,75.5322,57.4171,-2.77556e-14,0.305122,13.9472,-2.77556e-14,-2.77556e-14,1.11009,0.676225,14.7745,-2.77556e-14,11.7014,17.0817,19.8672,14.1015,14.6555,11.4818,17.5083,5.42302,2.76467,9.21947,9.74724,5.31572,6.96544,4.29514
1991-01-31,63.4874,87.0828,65.8837,76.144,83.2424,83.3025,76.4996,59.6518,-2.77556e-14,0.0780169,9.80701,-2.77556e-14,0.635746,0.289843,0.204816,5.98778,-2.77556e-14,9.74177,18.2716,16.1988,15.4173,14.2292,12.977,18.2735,3.52133,2.60419,8.90909,8.98662,4.9663,7.87503,4.68424
1991-02-01,57.8699,84.4575,71.1452,83.927,84.0407,68.7724,76.6331,64.2708,0.2261,-2.77556e-14,10.3939,-2.77556e-14,10.2222,0.0790194,-2.77556e-14,6.52348,-2.77556e-14,9.54944,17.3969,14.8799,16.5175,16.4977,14.066,19.6163,3.40602,3.41514,8.17241,8.0322,5.22105,8.44154,6.86649
1991-02-02,57.3726,74.1349,80.6139,82.8097,82.7522,72.6869,84.6225,68.0199,0.0186952,-2.77556e-14,0.998307,-2.77556e-14,7.37828,-2.77556e-14,0.237117,13.1881,0.00668286,11.7538,16.3876,12.1489,17.5358,17.3646,13.4392,17.5685,3.44276,5.44222,6.14937,7.22003,5.79019,7.76476,5.63907
1991-02-03,74.5359,66.7508,81.9493,81.058,66.1671,81.8923,72.2251,72.8923,0.0229433,9.7306,0.715138,0.0227789,2.04119,-2.77556e-14,6.65058,7.47065,0.176841,11.284,15.7549,14.0712,19.1983,12.8517,13.7786,15.0704,1.03207,6.95959,6.04064,8.13307,8.80708,5.75224,8.76667
1991-02-04,72.3568,60.0013,76.8942,85.946,57.1531,78.6056,72.9845,77.2767,1.5871,2.51145,-2.77556e-14,1.25189e-05,5.63923,0.402572,0.365444,0.529207,2.97942,10.3085,17.0265,15.1687,19.1618,13.5079,14.8291,18.1258,-0.457686,3.97113,8.43474,9.5223,4.23114,7.18379,10.9626
1991-02-05,68.5924,54.7675,73.026,82.9555,56.9772,83.093,65.7741,74.7423,1.43011,0.251199,-2.77556e-14,0.651027,4.86536,6.48386,2.20155,-2.77556e-14,16.3256,13.6485,15.2455,16.5365,21.2805,12.7409,16.9229,19.7532,1.09477,9.91925,10.0863,12.3213,3.15249,6.31705,13.1681
1991-02-06,63.0025,56.3091,88.352,66.5528,77.7336,76.177,65.4563,66.9894,0.113096,0.0272594,-2.77556e-14,5.94528,1.02405,6.95968,0.642138,-2.77556e-14,-2.77556e-14,14.8446,14.0403,18.1416,18.3941,14.3271,16.4927,18.0107,6.17237,5.32002,10.9047,11.2498,7.91506,6.00138,12.2416
1991-02-07,57.5769,62.2168,88.466,74.7043,73.76,76.6597,57.7413,59.4932,0.110559,-2.77556e-14,-2.77556e-14,5.46286,1.39381,0.323786,11.1287,-2.77556e-14,2.6978,20.2531,12.0139,16.3549,16.3528,12.92,18.9197,16.0864,8.27861,6.74081,7.96559,8.72307,8.42383,6.05129,11.7513
