"TIME";"Date";"Hour";"Irr_vol_m3";"Irr_deficit_m3";"Soil_moisture"
2024-10-23 18:00:00;"2024-10-23";18;0;0;27.9793832699191
2024-10-23 19:00:00;"2024-10-23";19;0.0563648958495389;0.0394554270946772;27.9892280484436
2024-10-23 20:00:00;"2024-10-23";20;0.0563646667965009;0.0394552667575507;27.9882143274776
2024-10-23 21:00:00;"2024-10-23";21;0.0563646902565805;0.0394552831796064;27.9883181533493
2024-10-23 22:00:00;"2024-10-23";22;0.0563647121137413;0.0394552984796189;27.988414885587
2024-10-23 23:00:00;"2024-10-23";23;0.0563647324002348;0.0394553126801644;27.9885046668596
2024-10-23 00:00:00;"2024-10-23";0;0.0563647511487851;0.0394553258041496;27.9885876419347
2024-10-23 01:00:00;"2024-10-23";1;0.0563647683925826;0.0394553378748078;27.9886639576487
2024-10-24 02:00:00;"2024-10-24";2;0.0649049029782154;0.0454334320847508;27.9887337628726
2024-10-24 03:00:00;"2024-10-24";3;0.141757665725834;0.0992303660080839;27.9741207630518
2024-10-24 04:00:00;"2024-10-24";4;0.280068272853468;0.196047790997428;27.9463510923321
2024-10-24 05:00:00;"2024-10-24";5;0.495164000696655;0.346614800487658;27.9068063694883
2024-10-24 06:00:00;"2024-10-24";6;0.786968371167936;0.550877859817555;27.8526164388427
2024-10-24 07:00:00;"2024-10-24";7;1.00190264579696;0.701331852057873;27.8132439409683
2024-10-24 08:00:00;"2024-10-24";8;1.26279820746569;0.883958745225982;27.7646637549016
2024-10-24 09:00:00;"2024-10-24";9;1.50824182753232;1.05576927927262;27.7171148848149
2024-10-24 10:00:00;"2024-10-24";10;1.75360988069998;1.22752691648999;27.6723020639537
2024-10-24 11:00:00;"2024-10-24";11;1.99888709735188;1.39922096814631;27.6273521192563
2024-10-24 12:00:00;"2024-10-24";12;2.22872585527384;1.56010809869168;27.5822640266024
2024-10-24 13:00:00;"2024-10-24";13;2.45850695156172;1.72095486609321;27.5399089763755
2024-10-24 14:00:00;"2024-10-24";14;2.68820649287739;1.88174454501417;27.497413361239
2024-10-24 15:00:00;"2024-10-24";15;2.87189485421667;2.01032639795167;27.4622783665075
2024-10-24 16:00:00;"2024-10-24";16;3.00961866054754;2.10673306238328;27.4353192550605
2024-10-24 17:00:00;"2024-10-24";17;3.11674395462971;2.1817207682408;27.4165477658086
